time,temperature
251,28.1
252,28.1
253,28.1
254,28.1
255,28.1
256,28.1
257,28.1
258,28.1
259,28.1
260,28.1
261,28.1
262,28.3
263,28.3
264,28.3
265,28.3
266,28.3
267,28.3
268,28.3
269,28.3
270,28.3
271,28.3
272,28.3
273,28.3
274,28.3
275,28.4
276,28.4
277,28.4
278,28.3
279,28.3
280,28.4
281,28.3
282,28.3
283,28.3
284,28.3
285,28.3
286,28.3
287,28.3
288,28.3
289,28.1
290,28.1
291,28.1
292,28.1
293,28.1
294,28.1
295,28.1
296,28.1
297,28.1
298,28.1
299,28.1
300,28.1
301,28.1
302,27.9
303,28
304,27.9
305,27.9
306,27.9
307,27.9
308,27.9
309,27.9
310,27.9
311,27.9
312,27.9
313,27.9
314,27.9
315,27.9
316,27.8
317,27.9
318,27.8
319,27.9
320,27.8
321,27.9
322,27.9
323,27.8
324,27.9
325,27.9
326,27.9
327,27.8
328,27.8
329,27.8
330,27.8
331,27.8
332,27.8
333,27.8
334,27.8
335,27.8
336,27.8
337,27.8
338,27.8
339,27.8
340,27.8
341,27.8
342,27.8
343,27.8
344,27.8
345,27.8
346,27.8
347,27.8
348,27.8
349,27.8
350,27.8
351,27.8
352,27.8
353,27.8
354,27.8
355,27.8
356,27.8
357,27.8
358,27.8
359,27.8
360,27.8
361,27.8
362,27.8
363,27.9
364,27.9
365,27.9
366,27.9
367,27.9
368,28
369,28
370,28.1
371,28.5
372,28.6
373,28.7
374,28.7
375,28.7
376,28.7
377,28.8
378,28.8
379,28.8
380,28.8
381,28.8
382,28.8
383,28.8
384,28.8
385,29.4
386,29.3
387,29.4
388,29.4
389,29.4
390,29.4
391,29.4
392,29.4
393,29.5
394,29.5
395,29.5
396,29.5
397,29.5
398,29.5
399,29.5
400,29.6
401,29.6
402,29.6
403,29.7
404,29.7
405,29.7
406,29.7
407,29.7
408,29.7
409,29.7
410,29.7
411,30.1
412,30.1
413,30.1
414,30.1
415,30.2
416,30.1
417,30.2
418,30.2
419,30.2
420,30.2
421,30.2
422,30.2
423,30.2
424,30.2
425,30.2
426,30.3
427,30.3
428,30.3
429,30.4
430,30.4
431,30.4
432,30.4
433,30.4
434,30.4
435,30.4
436,30.4
437,30.4
438,30.4
439,30.6
440,30.7
441,30.7
442,30.7
443,30.7
444,30.7
445,30.7
446,30.7
447,30.7
448,30.7
449,30.7
450,30.7
451,30.7
452,31.1
453,31
454,30.9
455,30.8
456,30.8
457,30.8
458,30.8
459,30.8
460,30.8
461,30.8
462,30.7
463,30.7
464,30.3
465,30.3
466,30.2
467,30.2
468,30.2
469,30.2
470,30.2
471,30.2
472,30.2
473,30.2
474,30.2
475,30.2
476,30.2
477,30.2
478,30.2
479,30
480,30
481,30
482,30
483,30
484,30
485,30
486,30
487,30
488,30
489,30
490,30
491,30
492,29.8
493,29.8
494,29.8
495,29.8
496,29.8
497,29.8
498,29.8
499,29.8
500,29.8
501,29.8
502,29.8
503,29.8
504,29.8
505,29.7
506,29.7
507,29.7
508,29.7
509,29.7
510,29.7
511,29.7
512,29.7
513,29.7
514,29.7
515,29.7
516,29.7
517,29.7
518,29.6
519,29.6
520,29.6
521,29.6
522,29.6
523,29.6
524,29.6
525,29.6
526,29.6
527,29.6
528,29.6
529,29.6
530,29.6
531,29.6
532,29.5
533,29.5
534,29.6
535,29.6
536,29.6
537,29.6
538,29.5
539,29.6
540,29.5
